HomeTeam,AwayTeam,FTHG,FTAG,FTR
Man City,Arsenal,3,1,H
Aston Villa,Chelsea,0,4,A
Bournemouth,Crystal Palace,1,1,D
Brighton,Arsenal,2,1,H
Everton,Liverpool,0,1,A
Man City,Burnley,3,0,H
Newcastle,Sheffield United,0,0,D
Norwich,Southampton,1,0,H
Tottenham,Man United,2,1,H
Watford,Leicester,2,1,H
West Ham,Wolves,0,1,A
Burnley,Watford,1,1,D
Chelsea,Man City,1,1,D
Leicester,Brighton,2,1,H
Liverpool,Crystal Palace,2,2,D
Man United,Sheffield United,0,0,D
Newcastle,Aston Villa,1,1,D
Norwich,Everton,1,1,D
Southampton,Arsenal,2,1,H
Tottenham,West Ham,2,1,H
Wolves,Bournemouth,2,0,H
Arsenal,Norwich,1,0,H
Aston Villa,Wolves,0,0,D
Bournemouth,Newcastle,1,2,A
Brighton,Man United,2,1,H
Crystal Palace,Burnley,1,1,D
Everton,Leicester,2,2,D
Man City,Liverpool,2,2,D
Sheffield United,Tottenham,0,0,D
Watford,Southampton,2,2,D
West Ham,Chelsea,1,1,D
Burnley,Sheffield United,0,0,D
Chelsea,Watford,3,2,H
Leicester,Crystal Palace,1,2,A
Liverpool,Aston Villa,3,2,H
Man United,Bournemouth,2,1,H
Newcastle,West Ham,2,1,H
Norwich,Brighton,0,0,D
Southampton,Man City,1,2,A
Tottenham,Everton,2,1,H
Wolves,Arsenal,3,1,H
Arsenal,Leicester,3,1,H
Aston Villa,Man United,0,1,A
Bournemouth,Tottenham,1,2,A
Brighton,Liverpool,1,3,A
Crystal Palace,Chelsea,1,2,A
Everton,Southampton,2,1,H
Man City,Newcastle,4,1,H
Sheffield United,Wolves,0,0,D
Watford,Norwich,2,0,H
West Ham,Burnley,2,2,D
Aston Villa,Crystal Palace,1,0,H
Bournemouth,Leicester,2,1,H
Brighton,Man City,1,3,A
Liverpool,Burnley,2,1,H
Man United,Southampton,1,1,D
Norwich,West Ham,2,2,D
Sheffield United,Chelsea,0,0,D
Tottenham,Arsenal,2,1,H
Watford,Newcastle,2,1,H
Wolves,Everton,2,2,D
Arsenal,Liverpool,2,2,D
Burnley,Wolves,2,0,H
Chelsea,Norwich,1,0,H
Crystal Palace,Man United,1,2,A
Everton,Aston Villa,4,0,H
Leicester,Sheffield United,0,0,D
Man City,Bournemouth,4,1,H
Newcastle,Tottenham,2,2,D
Southampton,Brighton,2,2,D
West Ham,Watford,2,2,D
Aston Villa,Arsenal,0,2,A
Bournemouth,Southampton,1,1,D
Brighton,Newcastle,1,1,D
Liverpool,Chelsea,1,1,D
Man United,West Ham,2,1,H
Norwich,Burnley,0,0,D
Sheffield United,Everton,0,0,D
Tottenham,Leicester,2,2,D
Watford,Man City,1,4,A
Wolves,Crystal Palace,0,2,A
Arsenal,Watford,3,1,H
Burnley,Brighton,1,0,H
Chelsea,Wolves,1,1,D
Crystal Palace,Tottenham,0,2,A
Everton,Bournemouth,3,1,H
Leicester,Man United,1,2,A
Man City,Norwich,2,1,H
Newcastle,Liverpool,2,1,H
Southampton,Sheffield United,0,0,D
West Ham,Aston Villa,2,0,H
