home/away,Liverpool,West Ham,Norwich,Man City,Bournemouth,Sheffield United,Burnley,Southampton,Crystal Palace,Everton,Watford,Brighton,Tottenham,Aston Villa,Leicester,Wolves,Newcastle,Arsenal,Man United,Chelsea
Liverpool, ,0.6069,0.7586,0.6585,0.8101,1.0,0.6513,0.8639,0.3829,0.8054,0.9733,0.8685,0.6612,1.0,0.7211,0.98,0.8827,0.9232,0.5823,0.455
West Ham,0.1096, ,0.6693,0.0015,0.4846,0.5,0.434,0.6466,0.54,0.3683,0.3582,0.1337,0.2702,1.0,0.1016,0.0,0.4559,0.1924,0.5417,0.3779
Norwich,0.3066,0.5, ,0.5252,0.805,0.0,0.0,1.0,0.0613,0.5,0.4386,0.0,0.0455,0.1871,0.2605,0.0,0.9756,0.2697,0.0364,0.0225
Man City,0.5278,0.6633,1.0, ,0.9996,1.0,0.9638,0.8014,0.8562,0.5447,0.9089,0.9839,0.5264,1.0,0.6452,0.5189,0.9031,0.8468,0.3344,0.7267
Bournemouth,0.0758,0.4036,0.8267,0.0157, ,0.5,0.1372,0.2988,0.299,0.5804,0.1539,0.9545,0.0946,0.3277,0.5838,0.0246,0.2287,0.256,0.17,0.32
Sheffield United,0.0,1.0,1.0,0.0,1.0, ,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0
Burnley,0.1362,0.6425,1.0,0.0761,0.7864,0.0, ,0.6844,0.2625,0.2681,0.3615,0.5139,0.1092,0.0,0.5003,1.0,0.3658,0.0558,0.0,0.0588
Southampton,0.1993,0.2658,0.9781,0.2427,0.3858,0.0,0.4016, ,0.6024,0.4411,0.3884,0.2692,0.186,0.7143,0.1366,0.4981,0.4634,0.58,0.2471,0.0126
Crystal Palace,0.0377,0.2126,0.9766,0.0607,0.4965,0.0,0.4013,0.3379, ,0.2459,0.3419,0.3291,0.0349,0.7298,0.5725,0.0234,0.7336,0.3889,0.139,0.1265
Everton,0.143,0.5533,0.5185,0.2676,0.7305,0.0,0.6758,0.6878,0.7546, ,0.5215,0.8743,0.1196,1.0,0.4581,0.2006,0.6382,0.2054,0.3822,0.5086
Watford,0.4687,0.2691,1.0,0.0149,0.2004,0.5,0.1734,0.3041,0.3295,0.4341, ,0.2271,0.1893,0.9318,0.5049,0.2693,0.6383,0.1261,0.3534,0.4094
Brighton,0.0399,0.6872,1.0,0.0038,0.1923,0.0,0.1366,0.0194,0.5194,0.5447,0.4165, ,0.5477,0.5,0.0058,0.4617,0.4936,0.496,0.6176,0.0461
Tottenham,0.4781,0.5946,0.9735,0.5489,0.9205,0.5,0.8011,0.6835,0.8864,0.6579,0.8134,0.8638, ,1.0,0.5233,0.0,0.2641,0.5593,0.7399,0.4177
Aston Villa,0.0164,0.2528,0.9761,0.0487,0.0,0.0,0.5,4.0E-4,1.0,0.3209,0.3066,1.0,0.0454, ,0.0724,0.0,0.7421,0.0,0.0,0.0
Leicester,0.2871,0.5111,0.4877,0.4508,0.6037,0.0,0.7507,0.1986,0.2307,0.4738,0.9893,0.9786,0.1714,0.9542, ,0.745,0.6512,0.4554,0.112,0.2044
Wolves,0.0,0.9998,1.0,0.5063,1.0,0.5,0.4905,0.7215,0.0,0.5,0.3556,0.5,0.0218,1.0,0.5165, ,0.5,1.0,0.4974,0.1951
Newcastle,0.4109,0.4478,0.767,0.3142,0.2703,0.0,0.5702,0.8592,0.519,0.2644,0.1254,0.0,0.5318,0.5,0.0039,0.021, ,0.1606,0.3555,0.541
Arsenal,0.3366,0.7153,1.0,0.0729,0.9068,0.5,0.9059,0.5753,0.5737,0.879,0.8355,0.4042,0.5872,0.9539,0.6639,0.5,0.911, ,0.6898,0.5188
Man United,0.5387,0.7243,0.7009,0.2205,0.7667,0.0,0.2356,0.5192,0.7095,0.7159,0.8829,0.7931,0.323,0.4676,0.7616,0.2572,0.7676,0.4593, ,0.7516
Chelsea,0.1268,0.4566,1.0,0.3004,0.3841,0.5,0.6656,0.3709,0.5293,0.7772,0.7502,1.0,0.4616,0.9768,0.5074,0.5,0.8386,0.6271,0.5333, 
